service_id,date,exception_type
11838834080,20251109,1
11838834080,20251115,1
11838834080,20251116,1
11838834080,20251122,1
11838834080,20251123,1
11838834080,20251129,1
11838834080,20251130,1
11838834080,20251206,1
11838834080,20251207,1
11838834080,20251213,1
11838834080,20251214,1
11838834080,20251220,1
11838834080,20251221,1
11838834080,20251224,1
11838834080,20251225,1
11838834080,20251226,1
11838834080,20251227,1
11838834080,20251228,1
29145071620,20250920,1
29145071620,20250921,1
29145071620,20250922,1
29145071620,20250927,1
29145071620,20250928,1
29145071620,20251004,1
29145071620,20251005,1
29145071620,20251011,1
29145071620,20251012,1
29145071620,20251018,1
29145071620,20251019,1
29145071620,20251025,1
29145071620,20251026,1
29145071620,20251101,1
29145071620,20251102,1
29145071620,20251108,1
29145071620,20251109,1
29145071620,20251115,1
29145071620,20251116,1
29145071620,20251122,1
29145071620,20251123,1
29145071620,20251129,1
29145071620,20251130,1
29145071620,20251206,1
29145071620,20251207,1
29145071620,20251213,1
29145071620,20251214,1
29145071620,20251220,1
29145071620,20251221,1
29145071620,20251224,1
29145071620,20251225,1
29145071620,20251226,1
29145071620,20251227,1
29145071620,20251228,1
17451230700,20250920,1
17451230700,20250921,1
17451230700,20250922,1
17451230700,20250927,1
17451230700,20250928,1
17451230700,20251004,1
17451230700,20251005,1
17451230700,20251011,1
17451230700,20251012,1
17451230700,20251018,1
17451230700,20251019,1
17451230700,20251025,1
17451230700,20251026,1
17451230700,20251101,1
17451230700,20251102,1
17451230700,20251108,1
17451230700,20251109,1
17451230700,20251115,1
17451230700,20251116,1
17451230700,20251122,1
17451230700,20251123,1
17451230700,20251129,1
17451230700,20251130,1
17451230700,20251206,1
17451230700,20251207,1
17451230700,20251213,1
17451230700,20251214,1
17451230700,20251220,1
17451230700,20251221,1
17451230700,20251224,1
17451230700,20251225,1
17451230700,20251226,1
17451230700,20251227,1
17451230700,20251228,1
11022901791,20250917,1
11022901791,20250918,1
11022901791,20250919,1
11022901791,20250923,1
11022901791,20250924,1
11022901791,20250925,1
11022901791,20250926,1
11022901791,20250929,1
11022901791,20250930,1
11022901791,20251001,1
11022901791,20251002,1
11022901791,20251003,1
11022901791,20251006,1
11022901791,20251007,1
11022901791,20251008,1
11022901791,20251009,1
11022901791,20251010,1
11022901791,20251013,1
11022901791,20251014,1
11022901791,20251015,1
11022901791,20251016,1
11022901791,20251017,1
11022901791,20251020,1
11022901791,20251021,1
11022901791,20251022,1
11022901791,20251023,1
11022901791,20251024,1
11022901791,20251027,1
11022901791,20251028,1
11022901791,20251029,1
11022901791,20251030,1
11022901791,20251031,1
11022901791,20251103,1
11022901791,20251104,1
11022901791,20251105,1
11022901791,20251106,1
11022901791,20251107,1
11022901791,20251110,1
11022901791,20251111,1
11022901791,20251112,1
11022901791,20251113,1
11022901791,20251114,1
11022901791,20251117,1
11022901791,20251118,1
11022901791,20251119,1
11022901791,20251120,1
11022901791,20251121,1
11022901791,20251124,1
11022901791,20251125,1
11022901791,20251126,1
11022901791,20251127,1
11022901791,20251128,1
11022901791,20251201,1
11022901791,20251202,1
11022901791,20251203,1
11022901791,20251204,1
11022901791,20251205,1
11022901791,20251208,1
11022901791,20251209,1
11022901791,20251210,1
11022901791,20251211,1
11022901791,20251212,1
11022901791,20251215,1
11022901791,20251216,1
11022901791,20251217,1
11022901791,20251218,1
11022901791,20251219,1
11022901791,20251222,1
11022901791,20251223,1
11022901791,20251229,1
11022901791,20251230,1
